,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
796,Sobek & Set,1664,257,0.08,80,American Black Ale,16,Finch's Beer Company,Chicago, IL
797,Nuclear Winter,1663,257,0.086,35,Belgian Strong Dark Ale,16,Finch's Beer Company,Chicago, IL
798,Wet Hot American Wheat Ale,1662,257,0.05,22,American Pale Wheat Ale,16,Finch's Beer Company,Chicago, IL
799,Secret Stache Stout,941,257,0.053,26,American Stout,16,Finch's Beer Company,Chicago, IL
800,Fascist Pig Ale,935,257,0.08,72,American Amber / Red Ale,16,Finch's Beer Company,Chicago, IL
801,Cut Throat Pale Ale,809,257,0.055,33,American Pale Ale (APA),16,Finch's Beer Company,Chicago, IL
802,Threadless IPA,481,257,0.075,12,American IPA,16,Finch's Beer Company,Chicago, IL
803,Cut Throat Pale Ale (2011),351,257,0.055,35,American Pale Ale (APA),16,Finch's Beer Company,Chicago, IL
804,Golden Wing Blonde Ale,350,257,0.047,12,American Blonde Ale,16,Finch's Beer Company,Chicago, IL
805,Easy Jack,2569,49,0.045,47,American IPA,12,Firestone Walker Brewing Company,Paso Robles, CA
806,Union Jack,2463,49,0.075,75,American IPA,12,Firestone Walker Brewing Company,Paso Robles, CA
807,Pivo Pils,2462,49,0.053,24,German Pilsener,12,Firestone Walker Brewing Company,Paso Robles, CA
808,805 Blonde Ale,1957,49,0.047,25,American Blonde Ale,12,Firestone Walker Brewing Company,Paso Robles, CA
809,805,1733,49,0.047,20,American Blonde Ale,12,Firestone Walker Brewing Company,Paso Robles, CA
810,Deflator,2624,17,0.065,65,Doppelbock,16,Flat 12 Bierwerks,Indianapolis, IN
811,Hinchtown Hammer Down,2284,17,0.05,27,American Blonde Ale,16,Flat 12 Bierwerks,Indianapolis, IN
812,Half Cycle IPA,1610,17,0.06,104,American IPA,16,Flat 12 Bierwerks,Indianapolis, IN
813,Inclined Plane Ale,520,533,0.099,99,American IPA,12,Flat Rock Brewing Company,Smithton, PA
814,Moped Traveler,2554,55,0.055,40,American Pale Ale (APA),16,Flesk Brewing Company,Lombard, IL
815,Snake Dog IPA,608,522,0.071,60,American IPA,12,Flying Dog Brewery,Frederick, MD
816,Underdog Atlantic Lager,607,522,0.047,28,American Pale Lager,12,Flying Dog Brewery,Frederick, MD
817,Flying Mouse 8,2567,51,0.04,35,American Porter,12,Flying Mouse Brewery,Troutville, VA
818,Flying Mouse 4,2566,51,0.07,70,American IPA,12,Flying Mouse Brewery,Troutville, VA
819,La Ferme Urbaine Farmhouse Ale,1899,280,0.078,65,Saison / Farmhouse Ale,12,Foolproof Brewing Company,Pawtucket, RI
820,Backyahd IPA,983,280,0.06,25,American IPA,12,Foolproof Brewing Company,Pawtucket, RI
821,Raincloud Robust Porter,982,280,0.065,65,American Porter,12,Foolproof Brewing Company,Pawtucket, RI
822,Barstool American Golden Ale,981,280,0.045,18,American Blonde Ale,12,Foolproof Brewing Company,Pawtucket, RI
823,What the Butler Saw,2111,218,0.05,18,Witbier,12,Forgotten Boardwalk,Cherry Hill, NJ
824,1916 Shore Shiver,2110,218,0.069,65,American IPA,12,Forgotten Boardwalk,Cherry Hill, NJ
825,Quick WIT,2172,207,0.052,49,Belgian Pale Ale,12,Fort George Brewery,Astoria, OR
826,The Optimist,2171,207,0.062,65,American IPA,12,Fort George Brewery,Astoria, OR
827,Suicide Squeeze IPA,1911,207,0.045,20,American IPA,16,Fort George Brewery,Astoria, OR
828,Java the Hop,1803,207,0.065,65,American IPA,16,Fort George Brewery,Astoria, OR
829,Next Adventure Black IPA,1566,207,0.062,45,American Black Ale,16,Fort George Brewery,Astoria, OR
830,3-Way IPA (2013),1515,207,0.067,100,American IPA,16,Fort George Brewery,Astoria, OR
831,Tender Loving Empire NWPA,1214,207,0.058,44,American Pale Ale (APA),16,Fort George Brewery,Astoria, OR
832,Quick Wit Belgianesque Ale,674,207,0.052,20,Witbier,16,Fort George Brewery,Astoria, OR
833,Sunrise Oatmeal Pale Ale,562,207,0.055,45,American Pale Ale (APA),16,Fort George Brewery,Astoria, OR
834,Cavatica Stout,552,207,0.088,90,American Double / Imperial Stout,16,Fort George Brewery,Astoria, OR
835,1811 Lager,319,207,0.051,34,American Amber / Red Lager,16,Fort George Brewery,Astoria, OR
836,Vortex IPA,318,207,0.074,97,American IPA,16,Fort George Brewery,Astoria, OR
837,Fort Pitt Ale,2322,152,0.045,17,American Amber / Red Ale,12,Fort Pitt Brewing Company,Latrobe, PA
838,Park,2661,5,0.047,19,American Pale Wheat Ale,12,Fort Point Beer Company,San Francisco, CA
839,Westfalia,2660,5,0.056,16,American Amber / Red Ale,12,Fort Point Beer Company,San Francisco, CA
840,KSA,2659,5,0.046,17,Kölsch,12,Fort Point Beer Company,San Francisco, CA
841,Villager,2658,5,0.063,42,American IPA,12,Fort Point Beer Company,San Francisco, CA
842,Dirty Bastard,2625,16,0.085,50,Scotch Ale / Wee Heavy,12,Founders Brewing Company,Grand Rapids, MI
843,Centennial IPA,1565,16,0.072,65,American IPA,12,Founders Brewing Company,Grand Rapids, MI
844,All Day IPA,1223,16,0.047,42,American IPA,12,Founders Brewing Company,Grand Rapids, MI
845,El Chingon IPA,1874,288,0.076,73,American IPA,12,Four Corners Brewing Company,Dallas, TX
846,Block Party Robust Porter,1873,288,0.057,40,American Porter,12,Four Corners Brewing Company,Dallas, TX
847,Local Buzz,1872,288,0.052,20,American Blonde Ale,12,Four Corners Brewing Company,Dallas, TX
848,Feel Like Maplin' Love,2613,23,0.055,35,Oatmeal Stout,16,Four Fathers Brewing ,Valparaiso, IN
849,Father's Beer,2612,23,0.05,31,Belgian Pale Ale,16,Four Fathers Brewing ,Valparaiso, IN
850,The 26th,2611,23,0.06,25,American IPA,16,Four Fathers Brewing ,Valparaiso, IN
851,The Gadget,2610,23,0.064,90,American IPA,16,Four Fathers Brewing ,Valparaiso, IN
852,Leprechaun Lager,1657,349,0.04,18,American Pale Lager,12,Four Horsemen Brewing Company,South Bend, IN
853,Sunbru Kölsch,2309,161,0.052,17,Kölsch,12,Four Peaks Brewing Company,Tempe, AZ
854,Kilt Lifter Scottish-Style Ale,1635,161,0.06,21,,12,Four Peaks Brewing Company,Tempe, AZ
855,Pumpkin Porter,1616,161,0.051,15,American Porter,12,Four Peaks Brewing Company,Tempe, AZ
856,Four Peaks Peach Ale,1585,161,0.042,9,Fruit / Vegetable Beer,12,Four Peaks Brewing Company,Tempe, AZ
857,Hop Knot IPA,358,161,0.067,47,American IPA,12,Four Peaks Brewing Company,Tempe, AZ
